node_id,parent_id,stage,arm,primary,GAUC,nDCG@5,delta_primary,ci95_lo,ci95_hi,confirmed,skip,buggy,error,patch,tokens_in,tokens_out,gpu_seconds
000_fm_baseline,,draft,draft,0.60147,0.66713,0.53581,,,,true,false,false,,"{""aux_click_weight"": 0.3, ""cwm_weight"": 0.2}",0,0,34.8
000_fm_s1,000_fm_baseline,improve,ablate,0.60176,0.66739,0.53613,,,,,false,false,,"{""aux_click_weight"": 0.3, ""cwm_weight"": 0.2}",0,0,27.4
001_fm_s2,000_fm_baseline,improve,ablate,0.60109,0.66706,0.53512,,,,,false,false,,"{""aux_click_weight"": 0.3, ""cwm_weight"": 0.2}",0,0,36.2
003_eda,000_fm_baseline,eda,eda,,,,,,,,false,false,,eda,0,0,0.0
004_research,000_fm_baseline,research,research,,,,,,,,false,false,,research:KuaiRand Pure long_view ranking TechJam track2,0,0,0.0
005_read_paper,000_fm_baseline,read_paper,research,,,,,,,,false,false,,read_paper:github/avinazz3_kuairand-starter-kit/README.md,0,0,0.0
006_read_paper,000_fm_baseline,read_paper,research,,,,,,,,false,false,,read_paper:github/rbrishi15_kuairand-agent/README.md,0,0,0.0
007_draft,,draft,draft,0.60392,0.67040,0.53743,0.00248,0.00057,0.00424,,false,false,,"{""loss"": ""bpr_global""}",4837,1452,60.6
008_draft,,draft,draft,0.57712,0.63148,0.52276,-0.02432,-0.02754,-0.02093,,false,false,,"{""model_family"": ""gbm""}",4904,3073,5.1
009_ablate_c0_s0,007_draft,improve,ablate,0.60392,0.67040,0.53743,0.00248,0.00057,0.00424,true,false,false,,"{""loss"": ""bpr_global"", ""seed"": 0}",0,0,68.2
010_ablate_c0_s1,007_draft,improve,ablate,0.60249,0.66865,0.53634,0.00105,-0.00090,0.00297,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 1}",0,0,59.2
011_ablate_c0_s2,007_draft,improve,ablate,0.60205,0.66797,0.53612,0.00061,-0.00117,0.00227,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 2}",0,0,45.8
012_ablate,007_draft,ablate,ablate,,,,,,,,false,false,,ablate,5297,2876,0.0
013_ablate_c0_s0,008_draft,improve,ablate,0.57712,0.63148,0.52276,-0.02570,-0.03020,-0.02318,false,false,false,,"{""model_family"": ""gbm"", ""seed"": 0}",0,0,8.9
014_ablate_c0_s1,008_draft,improve,ablate,0.57790,0.63234,0.52346,-0.02492,-0.02935,-0.02272,false,false,false,,"{""model_family"": ""gbm"", ""seed"": 1}",0,0,9.0
015_ablate_c0_s2,008_draft,improve,ablate,0.57813,0.63264,0.52362,-0.02469,-0.02910,-0.02236,false,false,false,,"{""model_family"": ""gbm"", ""seed"": 2}",0,0,8.8
016_ablate_c1_s0,008_draft,improve,ablate,0.57712,0.63148,0.52276,-0.02570,-0.03020,-0.02318,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 0}",0,0,8.6
017_ablate_c1_s1,008_draft,improve,ablate,0.57790,0.63234,0.52346,-0.02492,-0.02935,-0.02272,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 1}",0,0,8.4
018_ablate_c1_s2,008_draft,improve,ablate,0.57813,0.63264,0.52362,-0.02469,-0.02910,-0.02236,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 2}",0,0,8.5
019_ablate,008_draft,ablate,ablate,,,,,,,,false,false,,ablate,5473,12136,0.0
020_ensemble,009_ablate_c0_s0,ensemble,ensemble,0.60441,0.67100,0.53782,0.00159,-0.00061,0.00149,true,false,false,,"ensemble:009_ablate_c0_s0,010_ablate_c0_s1,011_ablate_c0_s2",0,0,0.0
021_ensemble,020_ensemble,ensemble,ensemble,0.60189,0.66766,0.53612,-0.00252,-0.00393,-0.00087,false,false,false,,"ensemble:000_fm_baseline,000_fm_s1,001_fm_s2",0,0,0.0
022_ensemble,020_ensemble,ensemble,ensemble,0.60189,0.66766,0.53612,-0.00252,-0.00393,-0.00087,false,false,false,,"ensemble:000_fm_baseline,000_fm_s1,001_fm_s2,009_ablate_c0_s0,010_ablate_c0_s1,011_ablate_c0_s2,016_ablate_c1_s0,017_ablate_c1_s1,018_ablate_c1_s2,013_ablate_c0_s0,014_ablate_c0_s1,015_ablate_c0_s2",0,0,0.0
023_multitask,020_ensemble,improve,multitask,0.60356,0.67011,0.53702,0.00074,-0.00222,0.00044,false,false,false,,"{""aux_click"": true}",9166,2883,65.1
024_features,020_ensemble,improve,features,0.61547,0.68530,0.54563,0.01265,0.00898,0.01299,false,false,false,,"{""use_time_decay"": true}",9471,2957,112.7
025_ablate_c0_s0,024_features,improve,ablate,0.61547,0.68530,0.54563,0.01265,0.00898,0.01299,true,false,false,,"{""seed"": 0, ""use_time_decay"": true}",0,0,87.0
026_ablate_c0_s1,024_features,improve,ablate,0.61629,0.68651,0.54608,0.01347,0.00961,0.01413,false,false,false,,"{""seed"": 1, ""use_time_decay"": true}",0,0,115.0
027_ablate_c0_s2,024_features,improve,ablate,0.61819,0.69016,0.54621,0.01537,0.01137,0.01601,false,false,false,,"{""seed"": 2, ""use_time_decay"": true}",0,0,129.1
028_ablate,024_features,ablate,ablate,,,,,,,,false,false,,ablate,5979,5790,0.0
029_ensemble,025_ablate_c0_s0,ensemble,ensemble,0.61883,0.69046,0.54720,0.00218,0.00211,0.00463,true,false,false,,"ensemble:025_ablate_c0_s0,026_ablate_c0_s1,027_ablate_c0_s2",0,0,0.0
030_ensemble,029_ensemble,ensemble,ensemble,0.61883,0.69046,0.54720,0.00000,0.00000,0.00000,false,false,false,,"ensemble:000_fm_baseline,000_fm_s1,001_fm_s2,009_ablate_c0_s0,010_ablate_c0_s1,011_ablate_c0_s2,016_ablate_c1_s0,017_ablate_c1_s1,018_ablate_c1_s2,025_ablate_c0_s0,026_ablate_c0_s1,027_ablate_c0_s2",0,0,0.0
031_watch_time,029_ensemble,improve,watch_time,0.61686,0.68771,0.54602,0.00021,-0.00355,-0.00026,false,false,false,,"{""wlr_play"": true}",10117,1379,123.3
032_ablate_c0_s0,031_watch_time,improve,ablate,0.61686,0.68771,0.54602,0.00021,-0.00355,-0.00026,false,false,false,,"{""seed"": 0, ""wlr_play"": true}",0,0,100.1
033_ablate_c0_s1,031_watch_time,improve,ablate,0.61566,0.68673,0.54459,-0.00099,-0.00472,-0.00179,false,false,false,,"{""seed"": 1, ""wlr_play"": true}",0,0,109.7
034_ablate_c0_s2,031_watch_time,improve,ablate,0.61766,0.68928,0.54605,0.00101,-0.00241,0.00010,false,false,false,,"{""seed"": 2, ""wlr_play"": true}",0,0,129.2
