epoch,loss,primary,GAUC,nDCG@5,sec
1,0.7153469137208803,0.5434910655021667,0.5921069979667664,0.4948751628398895,7.576963901519775
2,0.6098445498943329,0.565909743309021,0.6204116344451904,0.5114079117774963,7.866971731185913
3,0.5903694320150784,0.5830914974212646,0.6435202956199646,0.5226626396179199,7.803982257843018
4,0.5816587357435908,0.596036434173584,0.6604857444763184,0.5315871834754944,7.848615646362305
5,0.5752684995957783,0.6069643497467041,0.6739434599876404,0.5399852991104126,7.97395133972168
6,0.5700393035582134,0.6165174245834351,0.687269389629364,0.5457653999328613,7.87893271446228
7,0.5661007354940686,0.6219440698623657,0.693878173828125,0.5500099062919617,7.838672161102295
8,0.5595641896554402,0.6269240379333496,0.7007638812065125,0.553084135055542,7.88986873626709
9,0.5534973644784519,0.6265977621078491,0.7006824016571045,0.5525131821632385,7.908676862716675
10,0.5477931009871619,0.6296454668045044,0.7047067880630493,0.5545841455459595,7.836589813232422
11,0.5389053899901254,0.630450427532196,0.705272912979126,0.5556279420852661,8.016661405563354
12,0.5331840775268418,0.6299582719802856,0.7044215798377991,0.5554949045181274,7.998065948486328
13,0.5268705826997757,0.6310988068580627,0.7060338854789734,0.5561637282371521,8.014483451843262
14,0.5224740255730493,0.6332147121429443,0.7087184190750122,0.5577109456062317,7.891941070556641
15,0.5180481939656394,0.6312482357025146,0.7060737013816833,0.556422770023346,7.642864465713501
16,0.514197468502181,0.6314712762832642,0.7069935202598572,0.5559490919113159,7.497059106826782
17,0.5096892281515258,0.6318740248680115,0.7072683572769165,0.5564796924591064,7.544455528259277
18,0.504317869246006,0.6325907707214355,0.7085583806037903,0.5566232204437256,7.295655727386475
