node_id,parent_id,stage,arm,primary,GAUC,nDCG@5,delta_primary,ci95_lo,ci95_hi,confirmed,skip,buggy,error,patch,tokens_in,tokens_out,gpu_seconds
000_fm_baseline,,draft,draft,0.60147,0.66713,0.53581,,,,true,false,false,,"{""aux_click_weight"": 0.3, ""cwm_weight"": 0.2}",0,0,93.9
000_fm_s1,000_fm_baseline,improve,ablate,0.60176,0.66739,0.53613,,,,,false,false,,"{""aux_click_weight"": 0.3, ""cwm_weight"": 0.2}",0,0,75.4
001_fm_s2,000_fm_baseline,improve,ablate,0.60109,0.66706,0.53512,,,,,false,false,,"{""aux_click_weight"": 0.3, ""cwm_weight"": 0.2}",0,0,95.7
003_eda,000_fm_baseline,eda,eda,,,,,,,,false,false,,eda,0,0,0.0
004_research,000_fm_baseline,research,research,,,,,,,,false,false,,research:KuaiRand Pure long_view ranking TechJam track2,0,0,0.0
005_read_paper,000_fm_baseline,read_paper,research,,,,,,,,false,false,,read_paper:github/chermaxne_kuairand-research-agent/README.md,0,0,0.0
006_read_paper,000_fm_baseline,read_paper,research,,,,,,,,false,false,,read_paper:github/Y0306S_recagent/README.md,0,0,0.0
007_draft,,draft,draft,0.60392,0.67040,0.53743,0.00248,0.00057,0.00424,,false,false,,"{""loss"": ""bpr_global""}",6146,218,141.6
008_draft,,draft,draft,0.57712,0.63148,0.52276,-0.02432,-0.02754,-0.02093,,false,false,,"{""model_family"": ""gbm""}",6213,218,24.8
009_ablate_c0_s0,007_draft,improve,ablate,0.60392,0.67040,0.53743,0.00248,0.00057,0.00424,true,false,false,,"{""loss"": ""bpr_global"", ""seed"": 0}",0,0,84.6
010_ablate_c0_s1,007_draft,improve,ablate,0.60249,0.66865,0.53634,0.00105,-0.00090,0.00297,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 1}",0,0,73.0
011_ablate_c0_s2,007_draft,improve,ablate,0.60205,0.66797,0.53612,0.00061,-0.00117,0.00227,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 2}",0,0,55.6
012_ablate,007_draft,ablate,ablate,,,,,,,,false,false,,ablate,6606,298,0.0
013_ensemble,009_ablate_c0_s0,ensemble,ensemble,0.60441,0.67100,0.53782,0.00159,-0.00061,0.00149,false,false,false,,"ensemble:009_ablate_c0_s0,010_ablate_c0_s1,011_ablate_c0_s2",0,0,0.0
014_ensemble,009_ablate_c0_s0,ensemble,ensemble,0.60189,0.66766,0.53612,-0.00093,-0.00368,-0.00018,false,false,false,,"ensemble:000_fm_baseline,000_fm_s1,001_fm_s2",0,0,0.0
015_ensemble,009_ablate_c0_s0,ensemble,ensemble,0.60441,0.67100,0.53782,0.00159,-0.00061,0.00149,false,false,false,,"ensemble:000_fm_baseline,000_fm_s1,001_fm_s2,009_ablate_c0_s0,010_ablate_c0_s1,011_ablate_c0_s2",0,0,0.0
016_ensemble,009_ablate_c0_s0,ensemble,ensemble,0.60382,0.67039,0.53726,0.00100,-0.00133,0.00124,false,false,false,,"ensemble:000_fm_baseline,000_fm_s1,001_fm_s2,009_ablate_c0_s0,010_ablate_c0_s1,011_ablate_c0_s2",0,0,0.0
017_crossover,009_ablate_c0_s0,improve,features,,,,,,,,true,false,duplicate of 007_draft,skip,0,0,0.0
018_architecture,009_ablate_c0_s0,improve,architecture,0.60362,0.66992,0.53733,0.00080,-0.00167,0.00122,false,false,false,,"{""arch"": ""deepfm""}",9429,244,67.1
019_ablate_c0_s0,018_architecture,improve,ablate,0.60362,0.66992,0.53733,0.00080,-0.00167,0.00122,true,false,false,,"{""arch"": ""deepfm"", ""seed"": 0}",0,0,84.9
020_ablate_c0_s1,018_architecture,improve,ablate,0.60356,0.67050,0.53663,0.00074,-0.00198,0.00123,false,false,false,,"{""arch"": ""deepfm"", ""seed"": 1}",0,0,73.9
021_ablate_c0_s2,018_architecture,improve,ablate,0.60300,0.66959,0.53640,0.00018,-0.00247,0.00055,false,false,false,,"{""arch"": ""deepfm"", ""seed"": 2}",0,0,73.3
