epoch,loss,primary,GAUC,nDCG@5,sec
1,0.5643752970865794,0.5952038764953613,0.6584299802780151,0.5319777131080627,4.72248911857605
2,0.4392409452370235,0.6005855798721313,0.6661849021911621,0.5349863171577454,4.738270044326782
3,0.42653355172702245,0.6020761728286743,0.6682168841362,0.5359354019165039,4.685245513916016
4,0.421262375158923,0.6029585599899292,0.6691506505012512,0.536766529083252,4.78175950050354
5,0.4197970143386296,0.60322505235672,0.6692081689834595,0.5372419357299805,4.723954200744629
6,0.4167648217507771,0.603215754032135,0.6694864630699158,0.5369450449943542,4.878042221069336
7,0.415648013991969,0.603389322757721,0.6696119904518127,0.5371666550636292,4.976324796676636
8,0.41456072734934946,0.6033781170845032,0.6694434285163879,0.5373128056526184,4.788235664367676
9,0.412476518537317,0.6028050184249878,0.6688697934150696,0.5367401838302612,4.869756698608398
10,0.4122689240745136,0.6036239862442017,0.6699169278144836,0.5373310446739197,4.867727279663086
11,0.4105541427220617,0.6029569506645203,0.6689870953559875,0.536926805973053,4.909234523773193
12,0.40872533576829095,0.6034814119338989,0.6704248189926147,0.5365380048751831,4.875745058059692
13,0.4077265413744109,0.6026793122291565,0.668947160243988,0.536411464214325,4.919749736785889
14,0.4063290868486677,0.6032523512840271,0.669488787651062,0.5370159149169922,4.555917501449585
