epoch,loss,primary,GAUC,nDCG@5,sec
1,0.5702138117381504,0.5946769118309021,0.6579946875572205,0.5313591361045837,5.699719429016113
2,0.4389707311987877,0.6002402305603027,0.6653555035591125,0.5351248979568481,5.6875081062316895
3,0.4253819640193667,0.6012560129165649,0.6666232347488403,0.5358887314796448,5.370342493057251
4,0.4213056783590998,0.6010426878929138,0.6666275858879089,0.5354577898979187,5.409193515777588
5,0.4183888446007456,0.6023107767105103,0.6681737899780273,0.5364477038383484,5.548542737960815
6,0.41558238587209156,0.602260947227478,0.6681316494941711,0.5363902449607849,5.514618635177612
7,0.4129588256989207,0.6029677391052246,0.6693702936172485,0.5365651249885559,5.084348440170288
8,0.4110148119074958,0.6029953360557556,0.6695919632911682,0.536398708820343,5.393746614456177
9,0.4088582688144275,0.6021444797515869,0.6685599088668823,0.5357291102409363,6.710227012634277
10,0.4067853374140603,0.6014094352722168,0.6671155691146851,0.5357033014297485,6.597780704498291
11,0.4022177415234702,0.6017572283744812,0.6676512360572815,0.5358632206916809,6.596236228942871
12,0.3983853742480278,0.6007055640220642,0.6660246253013611,0.5353865027427673,7.458118438720703
