epoch,loss,primary,GAUC,nDCG@5,sec
1,0.6390894102198738,0.5869308710098267,0.6466761231422424,0.5271856784820557,3.521099328994751
2,0.5478637912443706,0.5955705642700195,0.6588523983955383,0.5322887301445007,3.428607225418091
3,0.5129100088562284,0.5993109941482544,0.6641952395439148,0.5344268083572388,3.4379420280456543
4,0.5003835703645434,0.5994263887405396,0.6642213463783264,0.5346313714981079,3.3815574645996094
5,0.4941232014979635,0.601046085357666,0.6661275029182434,0.5359647274017334,3.226006269454956
6,0.4896847467337336,0.6006128787994385,0.6657977104187012,0.535427987575531,3.307623863220215
7,0.4859333538583347,0.6014695167541504,0.6671333909034729,0.5358057022094727,3.299851655960083
8,0.4820883546556745,0.6012135744094849,0.6664974689483643,0.5359296798706055,3.3260250091552734
9,0.4783631669623511,0.6006931662559509,0.6665961146354675,0.5347902178764343,3.3046629428863525
10,0.47438121352876933,0.5996370315551758,0.6650436520576477,0.5342304110527039,3.328494071960449
11,0.47045187694685797,0.5990411043167114,0.6640194654464722,0.5340627431869507,3.368121862411499
