node_id,parent_id,stage,arm,primary,GAUC,nDCG@5,delta_primary,ci95_lo,ci95_hi,confirmed,skip,buggy,error,patch,tokens_in,tokens_out,gpu_seconds
102_ablate_c1_s1,097_sequence,improve,ablate,0.60399,0.67033,0.53764,0.00013,-0.00096,0.00124,false,false,false,,"{""arch"": ""deepfm"", ""seed"": 1}",0,0,207.3
103_ablate_c1_s2,097_sequence,improve,ablate,0.60398,0.67037,0.53759,0.00012,-0.00107,0.00122,false,false,false,,"{""arch"": ""deepfm"", ""seed"": 2}",0,0,207.0
104_ablate,097_sequence,ablate,ablate,,,,,,,,false,false,,ablate,8779,7454,0.0
105_ensemble,098_ablate_c0_s0,ensemble,ensemble,0.60413,0.67035,0.53791,0.00018,-0.00047,0.00090,false,false,false,,"ensemble:098_ablate_c0_s0,099_ablate_c0_s1,100_ablate_c0_s2",0,0,0.0
106_ensemble,098_ablate_c0_s0,ensemble,ensemble,0.60413,0.67035,0.53791,0.00018,-0.00047,0.00090,false,false,false,,"ensemble:009_ablate_c0_s0,010_ablate_c0_s1,011_ablate_c0_s2,024_ablate_c1_s0,025_ablate_c1_s1,026_ablate_c1_s2,101_ablate_c1_s0,102_ablate_c1_s1,103_ablate_c1_s2,012_ablate_c1_s0,013_ablate_c1_s1,014_ablate_c1_s2,037_ablate_c1_s0,038_ablate_c1_s1,039_ablate_c1_s2,048_ablate_c1_s0,049_ablate_c1_s1,050_ablate_c1_s2,060_ablate_c1_s0,061_ablate_c1_s1,062_ablate_c1_s2,071_ablate_c1_s0,072_ablate_c1_s1,073_ablate_c1_s2,081_ablate_c1_s0,082_ablate_c1_s1,083_ablate_c1_s2,091_ablate_c1_s0,092_ablate_c1_s1,093_ablate_c1_s2,021_ablate_c0_s0,022_ablate_c0_s1,023_ablate_c0_s2,034_ablate_c0_s0,035_ablate_c0_s1,036_ablate_c0_s2,045_ablate_c0_s0,046_ablate_c0_s1,047_ablate_c0_s2,057_ablate_c0_s0,058_ablate_c0_s1,059_ablate_c0_s2,068_ablate_c0_s0,069_ablate_c0_s1,070_ablate_c0_s2,078_ablate_c0_s0,079_ablate_c0_s1,080_ablate_c0_s2,088_ablate_c0_s0,089_ablate_c0_s1,090_ablate_c0_s2,098_ablate_c0_s0,099_ablate_c0_s1,100_ablate_c0_s2",0,0,0.0
107_sequence,009_ablate_c0_s0,improve,sequence,0.60396,0.67006,0.53786,0.00001,-0.00028,0.00040,false,false,false,,"{""seq_len"": 100, ""seq_mode"": ""pool""}",14557,8698,247.7
108_ablate_c0_s0,107_sequence,improve,ablate,0.60396,0.67006,0.53786,0.00001,-0.00028,0.00040,false,false,false,,"{""seed"": 0, ""seq_len"": 100, ""seq_mode"": ""pool""}",0,0,265.0
109_ablate_c0_s1,107_sequence,improve,ablate,0.60389,0.67008,0.53770,-0.00006,-0.00108,0.00101,false,false,false,,"{""seed"": 1, ""seq_len"": 100, ""seq_mode"": ""pool""}",0,0,323.2
110_ablate_c0_s2,107_sequence,improve,ablate,0.60402,0.67048,0.53756,0.00007,-0.00095,0.00118,false,false,false,,"{""seed"": 2, ""seq_len"": 100, ""seq_mode"": ""pool""}",0,0,322.0
111_ablate_c1_s0,107_sequence,improve,ablate,0.60352,0.66969,0.53734,-0.00043,-0.00175,0.00099,false,false,false,,"{""loss"": ""bpr_global"", ""seed"": 0}",0,0,351.2
