epoch,loss,primary,GAUC,nDCG@5,sec
1,0.6139163728271212,0.5925568342208862,0.6549862623214722,0.5301274061203003,32.84414100646973
2,0.5150106361934117,0.600995659828186,0.666618824005127,0.5353724956512451,35.390422344207764
3,0.5027656180518014,0.6027767658233643,0.6685555577278137,0.5369979739189148,30.464404821395874
4,0.49967253633907865,0.6032613515853882,0.6692867875099182,0.5372358560562134,29.913498878479004
5,0.49814833998680114,0.6034456491470337,0.6692853569984436,0.5376060009002686,29.99674916267395
6,0.49712450823613574,0.6037814617156982,0.6699606776237488,0.5376021862030029,30.25089716911316
7,0.4961686391915594,0.6046363115310669,0.6713152527809143,0.5379573106765747,30.14939522743225
8,0.49504838096243997,0.6037458181381226,0.6703106760978699,0.53718101978302,29.73591184616089
9,0.4935826710292271,0.6034931540489197,0.6699296236038208,0.5370566844940186,28.7772159576416
10,0.4912729012114661,0.6022627353668213,0.6684518456459045,0.5360735654830933,28.470285177230835
11,0.48784387516123906,0.6007761359214783,0.666384220123291,0.5351680517196655,27.791116952896118
